


2025-04-23,Shoppers Drug Mart,17.17,Cheese; Easter Candy; Q-Tips,Other,4,PCF MC
2025-04-23,Costco,405.08,Groceries; Yard/Garden; Kleenex,Other,4,PCF MC
2025-04-24,Saugeen Hospice Inc.,25,Megan Soers Donation,Other,4,PCF MC
2025-04-24,Carp Chiro,6.8,Linden & Amara (113),Other,4,PCF MC
2025-04-24,Panda Insulation,0,Attic Insulation Balance (1688.34),Other,4,PCF MC
2025-04-24,WCSOPA,20,Showcase Volunteer Opt-Out,Other,4,Cash
2025-04-25,Google Premium,25.98,Youtube Premium Bill,Other,4,PCF MC
2025-04-25,Village Pizza,84.52,Supper,Food,4,PCF MC
2025-04-25,Carp Custom Creamery,22.5,Dessert,Food,4,Cash
2025-04-26,Amazon.ca,90.37,Sprayer & Travel Adapters,Other,4,PCF MC
2025-04-28,Deka RONA,17.13,Deck Tools; Light Switch/Plate,Other,4,PCF MC
2025-04-28,Home Depot,15.79,Stain Pad,Other,4,PCF MC
2025-04-28,Boss,728.28,Linden Prom Suit & Shirt (250 grad),Other,4,PCF MC
2025-04-28,Marshalls,83.1,Dena; J Hair; L Belt/Drink; Sunblock,Other,4,PCF MC
2025-04-28,Jonathan,51,Dad Father's Day (Radio),Other,4,Debit
2025-04-29,Wayfair.ca,158.18,Basement Banisters,Other,5,PCF MC
2025-04-29,Groove Dental,98.35,5 Checkups (858.50) + Rinse,Other,5,PCF MC
2025-04-29,Helpful Neighbour Store,2.8,Joliet Slush Puppy,Other,5,Cash
2025-04-29,Kanata Lakes IDA,24.27,Dena Card; Diarrhea Pills; Bars,Other,5,PCF MC
2025-04-29,Costco.ca,71.89,Mom Headphones (146.89),Other,5,PCF MC
2025-04-29,WCSOPA,5.65,Finale Workshop,Other,5,PCF MC
2025-04-30,Julie Watson,12.5,Melissa Massage (125),Other,5,Debit
2025-04-30,Bobbi Coady,80,Amara Tutoring,Other,5,Debit
2025-04-30,First Choice,42.81,Amara Haircut,Other,5,PCF MC
2025-04-30,Doorlitedepot.com,395.29,Door Insert Kit,Other,5,PCF MC
2025-04-30,Shell,72.03,Gas - Van,Gas,5,PCF MC
2025-04-30,Sobeys,23.81,GF Bread & Buns (Both),Other,5,PCF MC
2025-05-01,Joliet,20,May Money,Other,1,Debit
2025-05-01,Palladium Orthodontics,152.5,Amara Braces 12 (305),Other,1,CIBC MC
2025-05-01,Costco.ca,79.99,Uber Eats Gift Cards ($100),Other,1,PCF MC
2025-05-01,OCSB,10,Cake Auction,Other,1,PCF MC
2025-05-01,ESSO,50.41,Gas - Car,Gas,1,PCF MC
2025-05-01,Kanata Learning Centre,120,L & A Tutoring (525),Other,1,PCF MC
2025-05-02,Entreprises Marc Dube,7,Parking,Other,1,PCF MC
2025-05-02,McDonald's,37.01,Supper,Food,1,PCF MC
2025-05-02,Koodo,14.69,Streaming Bill,Other,1,CIBC MC
2025-05-02,Linden,2.5,Montreal Airport Snacks,Other,1,Cash
2025-05-02,Dance Canada,10,Program,Other,1,Cash
2025-05-03,Pawllywoof,135.6,Triton Grooming,Other,1,PCF MC
2025-05-03,Pawllywoof,20,Tip,Other,1,Cash
2025-05-03,Costco,373.45,Grocery; Curtains; M Sweater,Other,1,PCF MC
2025-05-03,Linden Europe,86.04,Food & Souvenirs ,Other,1,PCF MC
2025-05-03,Shell,20.45,Gas - Gas Can,Gas,1,PCF MC
2025-05-04,Dance Canada,43,Sweater,Other,1,Cash
2025-05-04,Entreprises Marc Dube,7,Parking,Other,1,PCF MC
2025-05-04,McDonald's,38,Lunch,Food,1,PCF MC
2025-05-04,Linden Europe,13.56,Snacks,Other,1,PCF MC
2025-05-05,Rogers,73.44,Internet Bill,Other,1,Debit
2025-05-05,Linden Europe,40.16,Food ,Other,1,PCF MC
2025-05-06,Greely Sand & Gravel,400.02,4 Yards Soil,Other,1,PCF MC
2025-05-06,Linden Europe,39.22,Souvenirs & Food,Other,1,PCF MC
2025-05-06,Dollarama,67.59,Dance Gift Cards; Grocery; Cards,Other,1,PCF MC
2025-05-06,Healthy Planet,101.69,Bath & Beauty; Mints; GF Bread,Other,1,PCF MC
2025-05-06,Party City,4.51,Cake Box,Other,1,PCF MC
2025-05-06,Loblaws,85.72,Groceries,Other,1,PCF MC
